호남선 하행 (From Yongsan to Gwangju·Mokpo),,,,,,,,,,,,,,,,,,,,,,,,호남선 상행 (From Gwangju·Mokpo to Yongsan),,,,,,,,,,,,,,,,,,,,,,
열차번호,편성,행신,서울,용산,광명,수서,동탄,평택지제,천안아산,오송,공주,서대전,계룡,논산,익산,김제,정읍,장성,광주송정,나주,목포,비고,,열차번호,편성,목포,나주,광주송정,장성,정읍,김제,익산,논산,계룡,서대전,공주,오송,천안아산,평택지제,동탄,수서,광명,용산,서울,행신,비고
,,幸信,首尔,龍山,光明,水西,東灘,平澤芝制,天安牙山,五松,公州,西大田,鷄龍,論山,益山,金堤,井邑,長城,光州松汀,羅州,木浦,,,,,木浦,羅州,光州松汀,長城,井邑,金堤,益山,論山,鷄龍,西大田,公州,五松,天安牙山,平澤芝制,東灘,水西,光明,龍山,首尔,幸信,
,,Haengsin,Seoul,Yongsan,Gwangmyeong,Suseo,Dongtan,PyeongtaekJije,Cheonan-Asan,Osong,Gongju,Seodaejeon ,Gyeryong,Nonsan,Iksan,Gimje,Jeongeup,Jangseong,Gwangju songjeong,Naju,Mokpo,,,,,Mokpo,Naju,Gwangju songjeong,Jangseong,Jeongeup,Gimje,Iksan,Nonsan,Gyeryong,Seodaejeon ,Gongju,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Yongsan,Seoul,Haengsin,
427,KTX-산천,,16:35,16:43,17:00,,,,17:23,,17:48,,,,18:07,,18:25,,18:45,18:55,19:21,매일,,426,KTX-산천,16:54,17:21,17:32,,17:51,,18:16,,,,,,18:54,,,,19:20,19:36,,,매일
429,KTX_산천,,17:37,17:44,,,,,,18:26,18:43,,,,19:03,,,,19:34,19:44,20:10,매일,,428,KTX-청룡,,,18:25,,,,18:56,,,,,,,,,,,20:08,20:13,,월화수목
481,KTX,,,17:10,17:28,,,,,,,18:11,18:27,18:45,19:10,19:22,19:37,19:56,20:10,20:21,20:49,매일,,492,KTX,,,18:25,,,,18:56,,,,,,,,,,,20:08,20:13,,금토일
483,KTX,,,17:48,,,,,18:23,,,18:48,,,,,,,,,,매일,,484,KTX,,,,,,,,,,19:27,,19:46,19:59,,,,20:26,20:42,,,매일
431,KTX,,,18:31,18:49,,,,19:11,19:24,,,,,19:54,,20:11,,20:29,,,매일,,430,KTX,18:03,18:30,18:41,,19:00,,19:19,,,,,19:50,20:04,,,,20:30,20:46,,,매일
433,KTX,,19:29,19:41,19:59,,,,,20:28,20:45,,,,21:05,,21:23,,21:43,21:53,22:19,매일,,432,KTX,18:48,19:15,19:26,,19:45,,20:03,,,,,,,,,,21:02,21:18,,,매일
435,KTX-산천,,,20:33,20:50,,,,21:13,21:25,,,,,21:56,,22:13,,22:33,22:43,23:09,매일,,486,KTX,,,,,,,,,,20:39,,20:58,21:11,,,,21:37,21:53,,,매일
437,KTX,,,21:18,21:35,,,,,,22:18,,,,22:38,,,,23:10,23:20,23:46,매일,,4044,KTX_산천,19:16,,19:50,,20:10,,20:35,21:00,21:18,21:34,,,21:59,,,,22:25,22:41,,,금토일
485,KTX_산천,,,21:09,21:27,,,,21:49,,,22:16,22:31,22:49,23:15,,,,23:44,,,매일,,434,KTX-산천,19:55,,20:29,,,,21:06,,,,21:26,21:44,,,,,22:18,22:36,22:46,23:03,매일
9485,KTX_산천,,,21:09,21:27,,,,21:49,,,22:16,22:31,22:49,23:15,,,,23:44,,,금토,,436,KTX,,,20:50,,21:09,,21:27,,,,,21:58,22:12,,,,22:38,22:54,,,매일
